epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.036,1.69775,2.93712,1.35434,0.60005,0.25435,0.23592,0.14476,1.28083,3.23056,1.04958,0.000463798,0.000463798,0.000463798
2,470.354,1.34081,1.61297,1.07606,0.95714,0.06343,0.25594,0.17474,1.19176,2.85776,1.02743,0.000474766,0.000474766,0.000474766
